Serial No,Name,Student ID,Date of Incident,Place of Incident,Program/Course,Term,Incident Category,Status,Email
196,Susan Patel,500874914,2023-03-02,Off Campus,Cloud Computing,3,Other,Not Relevant Complaint,susan.patel@loyalistcollege.com
197,Vincent Cox,500147916,2022-06-14,Moodle / E- Learning,Wireless Information Networking,4,Other,In Progress,vincent.cox@loyalistcollege.com
198,Edward Giles,500670760,2021-05-23,Off Campus,Supply Chain Management,4,Suggestion/ Feedback,Not Relevant Complaint,edward.giles@loyalistcollege.com
199,Makayla White,500394527,2021-05-01,In Class,Artificial Intelligence and Data Science,2,Other,Resolved,makayla.white@loyalistcollege.com
200,Ashley Carpenter MD,500241387,2022-04-19,Off Campus,Wireless Information Networking,1,Lost and Found,Resolved,ashley.carpenter.md@loyalistcollege.com
201,Rachael Reddy,500351794,2023-06-11,Applied Industry Project,Hospitality Management,4,Inquiry,Not Relevant Complaint,rachael.reddy@loyalistcollege.com
202,Regina Stewart,500899189,2022-10-19,Moodle / E- Learning,Hospitality Management,3,Inquiry,In Progress,regina.stewart@loyalistcollege.com
203,Paul Carter,500605232,2021-12-18,Applied Industry Project,Global Business Management,2,Lost and Found,Not Relevant Complaint,paul.carter@loyalistcollege.com
204,Angel Anderson,500469335,2022-07-25,In Class,Artificial Intelligence and Data Science,4,Inquiry,Not Relevant Complaint,angel.anderson@loyalistcollege.com
205,Blake Jones,500739773,2022-08-16,Applied Industry Project,Business,1,Other,In Progress,blake.jones@loyalistcollege.com
206,Robert Gupta,500401861,2021-08-14,In Class,Global Business Management,3,Other,Resolved,robert.gupta@loyalistcollege.com
207,Natalie Thomas,500806114,2021-12-26,In Class,Supply Chain Management,1,Inquiry,Not Relevant Complaint,natalie.thomas@loyalistcollege.com
208,Mark Miller,500476649,2022-03-24,Applied Industry Project,Cloud Computing,1,Suggestion/ Feedback,Resolved,mark.miller@loyalistcollege.com
209,Jacob Rush,500718951,2021-11-06,Moodle / E- Learning,Business,1,Lost and Found,In Progress,jacob.rush@loyalistcollege.com
210,Jason Butler,500764532,2023-01-18,In Class,Wireless Information Networking,3,Lost and Found,In Progress,jason.butler@loyalistcollege.com
211,Jessica Reddy,500995247,2022-07-12,Applied Industry Project,Quality Engineering Management,1,Other,Resolved,jessica.reddy@loyalistcollege.com
212,Damon Carter,500751246,2022-03-16,Applied Industry Project,Computer Software and Database Development,2,Inquiry,In Progress,damon.carter@loyalistcollege.com
213,Travis Hogan,500238773,2022-08-21,On Campus,Computer Systems Technician,4,Lost and Found,Resolved,travis.hogan@loyalistcollege.com
214,Justin Watts,500850381,2023-08-10,In Class,Supply Chain Management,1,Other,Not Relevant Complaint,justin.watts@loyalistcollege.com
215,Jill Ross,500425370,2021-07-20,On Campus,Wireless Information Networking,3,Other,In Progress,jill.ross@loyalistcollege.com
216,Katrina Kumar,500506865,2021-07-05,Applied Industry Project,Wireless Information Networking,4,Inquiry,Resolved,katrina.kumar@loyalistcollege.com
217,David Chavez,500884844,2022-09-16,In Class,Hospitality Management,4,Lost and Found,In Progress,david.chavez@loyalistcollege.com
218,Brenda Ford,500534548,2022-07-06,On Co-op/Placement,Supply Chain Management,4,Inquiry,Resolved,brenda.ford@loyalistcollege.com
219,Karen Harris,500969167,2023-02-17,On Campus,Cloud Computing,1,Other,In Progress,karen.harris@loyalistcollege.com
220,Michael Montgomery,500782447,2023-01-02,On Campus,Computer Systems Technician,1,Suggestion/ Feedback,In Progress,michael.montgomery@loyalistcollege.com
221,Alan Kaur,500184644,2021-12-22,In Class,Wireless Information Networking,4,Other,Resolved,alan.kaur@loyalistcollege.com
222,Randy Fuller,500101598,2022-08-04,On Campus,Computer Systems Technician,3,Lost and Found,In Progress,randy.fuller@loyalistcollege.com
223,Brooke Mccarthy,500723459,2022-07-12,Moodle / E- Learning,Business,1,Lost and Found,Not Resolved,brooke.mccarthy@loyalistcollege.com
224,Michael Wolf,500301651,2022-11-02,Moodle / E- Learning,Hospitality Management,1,Other,Not Relevant Complaint,michael.wolf@loyalistcollege.com
225,Philip Ramirez,500832517,2022-03-07,Moodle / E- Learning,Cloud Computing,1,Lost and Found,Not Relevant Complaint,philip.ramirez@loyalistcollege.com
226,Tracey Sharma,500450645,2022-07-13,In Class,Supply Chain Management,3,Inquiry,In Progress,tracey.sharma@loyalistcollege.com
227,Stephen Williams,500267855,2022-09-15,Moodle / E- Learning,Computer Software and Database Development,3,Other,In Progress,stephen.williams@loyalistcollege.com
228,Joseph Perkins,500351045,2022-03-16,In Class,Computer Systems Technician,1,Suggestion/ Feedback,Resolved,joseph.perkins@loyalistcollege.com
229,Brian King,500333935,2021-06-13,Applied Industry Project,Computer Software and Database Development,4,Suggestion/ Feedback,In Progress,brian.king@loyalistcollege.com
230,Paul Stout,500768361,2023-01-16,Applied Industry Project,Supply Chain Management,1,Lost and Found,Not Resolved,paul.stout@loyalistcollege.com
231,Caitlin Kumar,500569903,2022-03-29,Moodle / E- Learning,Global Project Management,2,Lost and Found,Not Relevant Complaint,caitlin.kumar@loyalistcollege.com
232,Ricky Torres,500497041,2021-07-07,In Class,Cloud Computing,3,Inquiry,In Progress,ricky.torres@loyalistcollege.com
233,Joseph Wright,500844855,2022-11-24,On Co-op/Placement,Quality Engineering Management,1,Lost and Found,Resolved,joseph.wright@loyalistcollege.com
234,Carla Perry,500806504,2021-08-28,On Campus,Business Sales and Marketing,1,Suggestion/ Feedback,Not Relevant Complaint,carla.perry@loyalistcollege.com
235,Joseph Berry,500695749,2022-06-19,On Campus,Business Sales and Marketing,4,Inquiry,Resolved,joseph.berry@loyalistcollege.com
236,Courtney Gupta,500534536,2022-01-14,On Campus,Cyber Security,3,Other,In Progress,courtney.gupta@loyalistcollege.com
237,Jennifer Walters,500133077,2021-10-18,Off Campus,Artificial Intelligence and Data Science,2,Suggestion/ Feedback,Resolved,jennifer.walters@loyalistcollege.com
238,Richard French,500521807,2022-06-10,In Class,Hospitality Management,2,Lost and Found,Not Relevant Complaint,richard.french@loyalistcollege.com
239,Jacob Fuller,500835921,2023-02-15,Off Campus,Hospitality Management,2,Other,Resolved,jacob.fuller@loyalistcollege.com
240,Michael James,500695037,2021-12-22,Applied Industry Project,Computer Software and Database Development,2,Suggestion/ Feedback,Not Resolved,michael.james@loyalistcollege.com
241,Brittany Gupta,500538542,2021-06-20,Moodle / E- Learning,Computer Software and Database Development,2,Inquiry,Not Resolved,brittany.gupta@loyalistcollege.com
242,Michael Gomez,500909695,2022-08-20,Applied Industry Project,Quality Engineering Management,2,Other,In Progress,michael.gomez@loyalistcollege.com
243,Jason Woods,500794362,2022-08-27,On Campus,Supply Chain Management,3,Other,In Progress,jason.woods@loyalistcollege.com
244,Emily Pearson,500843446,2022-12-24,In Class,Artificial Intelligence and Data Science,1,Suggestion/ Feedback,In Progress,emily.pearson@loyalistcollege.com
245,Eric Mcgee,500149052,2023-03-09,On Campus,Cyber Security,4,Inquiry,Not Relevant Complaint,eric.mcgee@loyalistcollege.com
246,Brian Singh,500273722,2022-12-19,Applied Industry Project,Business Sales and Marketing,4,Suggestion/ Feedback,Not Resolved,brian.singh@loyalistcollege.com
247,Allison Ruiz,500566985,2023-05-30,Applied Industry Project,Global Business Management,1,Lost and Found,Resolved,allison.ruiz@loyalistcollege.com
248,Alexandra Rose,500166989,2023-08-19,Off Campus,Business Sales and Marketing,2,Lost and Found,Resolved,alexandra.rose@loyalistcollege.com
249,Sean Parks,500371819,2021-12-09,Applied Industry Project,Business Sales and Marketing,2,Inquiry,Not Relevant Complaint,sean.parks@loyalistcollege.com
250,Maureen Smith,500835593,2022-09-13,Applied Industry Project,Hospitality Management,3,Suggestion/ Feedback,Not Relevant Complaint,maureen.smith@loyalistcollege.com
251,Blake Kumar,500265346,2023-02-20,On Co-op/Placement,Business,3,Other,Resolved,blake.kumar@loyalistcollege.com
252,Zoe Marks,500568047,2022-04-29,Moodle / E- Learning,Business Sales and Marketing,2,Lost and Found,Not Relevant Complaint,zoe.marks@loyalistcollege.com
253,Monica Perez,500653200,2023-01-27,Applied Industry Project,Cyber Security,2,Other,Not Resolved,monica.perez@loyalistcollege.com
254,Donna Garcia,500610935,2021-12-28,On Campus,Computer Systems Technician,3,Other,Not Resolved,donna.garcia@loyalistcollege.com
255,Gary Jackson,500688675,2022-05-04,On Co-op/Placement,Cyber Security,2,Suggestion/ Feedback,Not Resolved,gary.jackson@loyalistcollege.com
256,Robert Reddy,500733316,2023-03-16,In Class,Cyber Security,2,Other,Resolved,robert.reddy@loyalistcollege.com
257,Jessica West,500892183,2021-01-03,In Class,Global Project Management,4,Lost and Found,In Progress,jessica.west@loyalistcollege.com
258,Kelly Anderson,500100072,2021-05-23,On Co-op/Placement,Quality Engineering Management,4,Lost and Found,Resolved,kelly.anderson@loyalistcollege.com
259,Jill Clarke,500140800,2023-01-03,On Co-op/Placement,Cyber Security,3,Other,Not Relevant Complaint,jill.clarke@loyalistcollege.com
260,Robert Price,500618607,2022-05-08,Applied Industry Project,Wireless Information Networking,2,Inquiry,Resolved,robert.price@loyalistcollege.com
261,Jeffrey Patel,500441776,2022-09-05,On Campus,Computer Systems Technician,4,Inquiry,Not Relevant Complaint,jeffrey.patel@loyalistcollege.com
262,Todd Willis,500427216,2021-12-20,Off Campus,Computer Systems Technician,1,Lost and Found,Not Relevant Complaint,todd.willis@loyalistcollege.com
263,James Young,500978430,2022-11-02,On Campus,Wireless Information Networking,2,Lost and Found,Resolved,james.young@loyalistcollege.com
264,Cody Brown,500589571,2021-03-17,On Campus,Business Sales and Marketing,1,Other,In Progress,cody.brown@loyalistcollege.com
265,Carrie Bishop,500152278,2023-06-13,On Campus,Computer Systems Technician,4,Inquiry,Not Resolved,carrie.bishop@loyalistcollege.com
266,Cheyenne Singh,500948346,2021-03-04,Applied Industry Project,Cyber Security,2,Lost and Found,Not Resolved,cheyenne.singh@loyalistcollege.com
267,Kayla Mitchell,500962684,2022-09-24,On Co-op/Placement,Global Business Management,2,Suggestion/ Feedback,Not Resolved,kayla.mitchell@loyalistcollege.com
268,Heather Ellis,500951878,2021-05-26,On Campus,Computer Software and Database Development,1,Suggestion/ Feedback,Not Resolved,heather.ellis@loyalistcollege.com
269,Kelli Huber,500535303,2022-02-14,On Campus,Quality Engineering Management,1,Other,Resolved,kelli.huber@loyalistcollege.com
270,Tara Villa,500297133,2021-11-08,On Campus,Quality Engineering Management,3,Lost and Found,Not Resolved,tara.villa@loyalistcollege.com
271,Bianca Kumar,500675209,2022-05-23,Applied Industry Project,Business Sales and Marketing,1,Suggestion/ Feedback,In Progress,bianca.kumar@loyalistcollege.com
272,Michael Lewis III,500763841,2021-10-05,Applied Industry Project,Supply Chain Management,1,Suggestion/ Feedback,Not Resolved,michael.lewis.iii@loyalistcollege.com
273,Christopher Smith,500187521,2021-06-25,Off Campus,Global Project Management,1,Suggestion/ Feedback,Not Resolved,christopher.smith@loyalistcollege.com
274,Brenda Buchanan,500978128,2021-10-08,Moodle / E- Learning,Business,1,Inquiry,Not Resolved,brenda.buchanan@loyalistcollege.com
275,Tracy Sanders,500860798,2022-07-20,In Class,Quality Engineering Management,2,Lost and Found,Resolved,tracy.sanders@loyalistcollege.com
276,Sandra Patel,500236861,2021-02-13,On Campus,Artificial Intelligence and Data Science,2,Suggestion/ Feedback,Not Resolved,sandra.patel@loyalistcollege.com
277,Gerald Garcia,500115444,2021-12-30,On Co-op/Placement,Hospitality Management,4,Lost and Found,Not Relevant Complaint,gerald.garcia@loyalistcollege.com
278,Rebecca Morris,500521335,2021-03-09,In Class,Quality Engineering Management,1,Inquiry,In Progress,rebecca.morris@loyalistcollege.com
279,Frederick Johnson,500811474,2021-01-13,Off Campus,Computer Software and Database Development,4,Other,In Progress,frederick.johnson@loyalistcollege.com
280,Jacob Clark,500537764,2022-08-18,In Class,Global Project Management,4,Lost and Found,Resolved,jacob.clark@loyalistcollege.com
281,Alice Patel,500431535,2023-04-11,Moodle / E- Learning,Global Project Management,3,Suggestion/ Feedback,Resolved,alice.patel@loyalistcollege.com
282,Dakota Chambers,500103557,2021-01-08,In Class,Cloud Computing,2,Suggestion/ Feedback,In Progress,dakota.chambers@loyalistcollege.com
283,Emily Heath,500323896,2021-07-21,On Campus,Artificial Intelligence and Data Science,2,Inquiry,In Progress,emily.heath@loyalistcollege.com
284,Gregory Marquez,500114985,2021-06-30,Off Campus,Computer Systems Technician,3,Suggestion/ Feedback,In Progress,gregory.marquez@loyalistcollege.com
285,Timothy Jones,500852168,2023-07-29,Applied Industry Project,Hospitality Management,2,Lost and Found,In Progress,timothy.jones@loyalistcollege.com
286,Steven Kaur,500891416,2023-07-31,On Co-op/Placement,Supply Chain Management,4,Other,In Progress,steven.kaur@loyalistcollege.com
287,Amber Lamb,500102472,2021-11-06,Off Campus,Business Sales and Marketing,1,Lost and Found,In Progress,amber.lamb@loyalistcollege.com
288,Julia Wilson,500962696,2021-05-07,Moodle / E- Learning,Supply Chain Management,2,Suggestion/ Feedback,Resolved,julia.wilson@loyalistcollege.com
289,Brett Cannon,500808587,2022-12-26,On Campus,Global Project Management,4,Lost and Found,Not Relevant Complaint,brett.cannon@loyalistcollege.com
290,Thomas Alexander,500654010,2021-11-04,On Co-op/Placement,Cyber Security,3,Lost and Found,Resolved,thomas.alexander@loyalistcollege.com
291,Chris Singh,500741793,2021-01-03,Off Campus,Wireless Information Networking,1,Inquiry,In Progress,chris.singh@loyalistcollege.com
292,Paul Calderon,500202534,2023-03-20,Applied Industry Project,Global Project Management,4,Other,Resolved,paul.calderon@loyalistcollege.com
293,Christopher Burns,500299711,2023-08-24,Moodle / E- Learning,Hospitality Management,4,Lost and Found,In Progress,christopher.burns@loyalistcollege.com
294,Seth Michael,500224679,2022-10-07,Applied Industry Project,Computer Software and Database Development,2,Inquiry,Not Resolved,seth.michael@loyalistcollege.com
295,Jeffrey Hawkins,500737911,2021-04-14,In Class,Wireless Information Networking,4,Suggestion/ Feedback,In Progress,jeffrey.hawkins@loyalistcollege.com
296,Justin Gupta,500780804,2023-04-15,On Campus,Business,4,Lost and Found,Not Relevant Complaint,justin.gupta@loyalistcollege.com
297,Christina Phillips,500308159,2021-10-03,Off Campus,Cloud Computing,2,Inquiry,In Progress,christina.phillips@loyalistcollege.com
298,Larry Herrera,500417106,2021-12-30,Moodle / E- Learning,Business Sales and Marketing,4,Inquiry,In Progress,larry.herrera@loyalistcollege.com
299,David Wilson,500393583,2021-12-19,Applied Industry Project,Quality Engineering Management,2,Inquiry,Not Resolved,david.wilson@loyalistcollege.com
300,Annette Quinn,500821986,2022-10-08,Moodle / E- Learning,Global Business Management,4,Other,Resolved,annette.quinn@loyalistcollege.com
301,John Kaur,500291072,2022-08-17,On Co-op/Placement,Wireless Information Networking,4,Inquiry,Not Relevant Complaint,john.kaur@loyalistcollege.com
302,Noah Keller,500205047,2023-01-08,In Class,Computer Systems Technician,1,Other,In Progress,noah.keller@loyalistcollege.com
303,Kaylee Trevino,500598708,2021-01-01,Off Campus,Computer Software and Database Development,3,Suggestion/ Feedback,Resolved,kaylee.trevino@loyalistcollege.com
304,Matthew Wilson,500995419,2022-11-09,Off Campus,Cyber Security,3,Inquiry,Not Resolved,matthew.wilson@loyalistcollege.com
305,Heather Leonard,500515966,2021-11-23,In Class,Cloud Computing,3,Suggestion/ Feedback,Resolved,heather.leonard@loyalistcollege.com
306,Jade Singh,500758127,2022-08-16,Off Campus,Global Business Management,1,Suggestion/ Feedback,In Progress,jade.singh@loyalistcollege.com
307,Connie Decker,500185296,2021-03-05,Moodle / E- Learning,Artificial Intelligence and Data Science,4,Inquiry,Not Resolved,connie.decker@loyalistcollege.com
308,Joseph Leonard,500122906,2023-08-15,Applied Industry Project,Computer Systems Technician,2,Inquiry,In Progress,joseph.leonard@loyalistcollege.com
309,Mark Mitchell,500388058,2022-02-23,Off Campus,Artificial Intelligence and Data Science,3,Other,In Progress,mark.mitchell@loyalistcollege.com
310,Robert Tran,500574982,2021-02-14,On Campus,Computer Software and Database Development,1,Suggestion/ Feedback,Not Resolved,robert.tran@loyalistcollege.com
311,Mark Singh,500938676,2023-06-25,Applied Industry Project,Wireless Information Networking,3,Inquiry,Not Relevant Complaint,mark.singh@loyalistcollege.com
312,Allison Anderson,500930830,2022-06-24,Applied Industry Project,Wireless Information Networking,4,Suggestion/ Feedback,In Progress,allison.anderson@loyalistcollege.com
313,William Dixon,500221403,2022-07-25,Off Campus,Computer Systems Technician,1,Lost and Found,In Progress,william.dixon@loyalistcollege.com
314,Phillip Harrington,500368947,2022-06-09,In Class,Computer Software and Database Development,1,Lost and Found,Not Relevant Complaint,phillip.harrington@loyalistcollege.com
315,Laura Dominguez,500239901,2022-12-07,On Campus,Global Project Management,2,Suggestion/ Feedback,Not Resolved,laura.dominguez@loyalistcollege.com
316,Jason Kaur,500785314,2021-07-28,In Class,Supply Chain Management,4,Suggestion/ Feedback,Resolved,jason.kaur@loyalistcollege.com
317,Rose Wolf,500646167,2023-07-15,Applied Industry Project,Wireless Information Networking,1,Suggestion/ Feedback,In Progress,rose.wolf@loyalistcollege.com
318,Kevin Fuller,500956973,2023-03-15,In Class,Supply Chain Management,4,Lost and Found,In Progress,kevin.fuller@loyalistcollege.com
319,Ashley Flowers,500782395,2021-05-23,On Co-op/Placement,Supply Chain Management,4,Lost and Found,Not Relevant Complaint,ashley.flowers@loyalistcollege.com
320,Heather Bryant,500776269,2022-01-27,On Co-op/Placement,Computer Systems Technician,4,Lost and Found,Resolved,heather.bryant@loyalistcollege.com
321,Alexander Kaur,500463911,2021-06-10,Moodle / E- Learning,Cloud Computing,1,Suggestion/ Feedback,Not Relevant Complaint,alexander.kaur@loyalistcollege.com
322,Matthew Guerrero,500220700,2021-06-10,On Campus,Computer Software and Database Development,4,Lost and Found,In Progress,matthew.guerrero@loyalistcollege.com
323,Troy Castillo MD,500261942,2022-02-28,Moodle / E- Learning,Supply Chain Management,4,Inquiry,Resolved,troy.castillo.md@loyalistcollege.com
324,Deanna Munoz,500391933,2021-02-07,Off Campus,Business Sales and Marketing,2,Suggestion/ Feedback,In Progress,deanna.munoz@loyalistcollege.com
325,Samantha Floyd,500992589,2021-08-09,Off Campus,Cloud Computing,2,Inquiry,Not Resolved,samantha.floyd@loyalistcollege.com
326,Patrick Patel,500119476,2023-08-23,On Campus,Artificial Intelligence and Data Science,3,Suggestion/ Feedback,Resolved,patrick.patel@loyalistcollege.com
327,Andrew Barber,500144352,2021-07-31,Off Campus,Computer Software and Database Development,4,Other,Not Relevant Complaint,andrew.barber@loyalistcollege.com
328,Grace Alexander,500142638,2022-08-12,Off Campus,Quality Engineering Management,4,Lost and Found,Resolved,grace.alexander@loyalistcollege.com
329,Mary Green,500315729,2021-11-18,On Campus,Hospitality Management,2,Other,Resolved,mary.green@loyalistcollege.com
330,Elizabeth Kelly,500814076,2023-06-10,On Campus,Artificial Intelligence and Data Science,3,Other,Resolved,elizabeth.kelly@loyalistcollege.com
331,Amber Kumar,500372283,2022-05-12,Off Campus,Wireless Information Networking,1,Lost and Found,In Progress,amber.kumar@loyalistcollege.com
332,Brittany Johnson,500685478,2021-11-10,Applied Industry Project,Supply Chain Management,3,Lost and Found,Resolved,brittany.johnson@loyalistcollege.com
333,Allison Williams,500430000,2022-10-17,On Co-op/Placement,Business Sales and Marketing,3,Other,Not Relevant Complaint,allison.williams@loyalistcollege.com
334,Matthew Jones,500484716,2023-03-01,On Campus,Computer Software and Database Development,2,Suggestion/ Feedback,Not Resolved,matthew.jones@loyalistcollege.com
335,William Henderson,500695033,2023-02-17,Applied Industry Project,Artificial Intelligence and Data Science,3,Inquiry,In Progress,william.henderson@loyalistcollege.com
336,Patricia Gupta,500990700,2021-07-06,Off Campus,Global Project Management,4,Suggestion/ Feedback,Not Relevant Complaint,patricia.gupta@loyalistcollege.com
337,Jeffrey Howard,500144044,2023-05-20,Moodle / E- Learning,Supply Chain Management,1,Inquiry,Not Resolved,jeffrey.howard@loyalistcollege.com
338,Gary Hatfield,500987472,2021-06-13,Moodle / E- Learning,Artificial Intelligence and Data Science,2,Other,Not Resolved,gary.hatfield@loyalistcollege.com
339,Janet Ortiz,500885524,2023-01-08,In Class,Artificial Intelligence and Data Science,3,Suggestion/ Feedback,In Progress,janet.ortiz@loyalistcollege.com
340,Joseph Fitzgerald,500835392,2021-07-13,Off Campus,Computer Systems Technician,2,Lost and Found,Not Relevant Complaint,joseph.fitzgerald@loyalistcollege.com
341,Gloria Singh,500737111,2023-03-02,On Campus,Artificial Intelligence and Data Science,3,Lost and Found,In Progress,gloria.singh@loyalistcollege.com
342,Andrew Dorsey,500787196,2022-11-27,Applied Industry Project,Artificial Intelligence and Data Science,3,Lost and Found,Not Relevant Complaint,andrew.dorsey@loyalistcollege.com
343,James Smith,500618505,2022-12-31,In Class,Computer Systems Technician,4,Suggestion/ Feedback,Resolved,james.smith@loyalistcollege.com
344,Sean Palmer,500846961,2021-10-05,Moodle / E- Learning,Supply Chain Management,1,Lost and Found,In Progress,sean.palmer@loyalistcollege.com
345,Brittany Rivera,500775433,2022-12-08,Off Campus,Computer Software and Database Development,3,Suggestion/ Feedback,In Progress,brittany.rivera@loyalistcollege.com
346,Mary Singh,500580944,2023-05-01,On Co-op/Placement,Business,4,Suggestion/ Feedback,Not Resolved,mary.singh@loyalistcollege.com
347,Danielle Johnson,500771236,2022-06-12,Off Campus,Artificial Intelligence and Data Science,1,Suggestion/ Feedback,Resolved,danielle.johnson@loyalistcollege.com
348,Caroline French,500556592,2021-07-20,In Class,Computer Software and Database Development,4,Lost and Found,Not Relevant Complaint,caroline.french@loyalistcollege.com
349,Carol Miller,500490541,2022-10-09,On Campus,Supply Chain Management,3,Inquiry,Resolved,carol.miller@loyalistcollege.com
350,Linda Oliver,500664059,2022-01-31,Applied Industry Project,Global Business Management,4,Inquiry,Not Relevant Complaint,linda.oliver@loyalistcollege.com
351,Stephen Reddy,500286948,2022-08-10,In Class,Business Sales and Marketing,2,Suggestion/ Feedback,Not Resolved,stephen.reddy@loyalistcollege.com
352,Lance King,500317940,2021-05-03,Moodle / E- Learning,Computer Systems Technician,3,Lost and Found,Resolved,lance.king@loyalistcollege.com
353,Morgan Johnson,500493823,2023-05-28,Applied Industry Project,Global Project Management,2,Other,Not Relevant Complaint,morgan.johnson@loyalistcollege.com
354,Amanda Davis,500715645,2023-02-25,On Co-op/Placement,Global Business Management,2,Other,Not Relevant Complaint,amanda.davis@loyalistcollege.com
355,Chris Young,500405172,2022-06-06,On Co-op/Placement,Business Sales and Marketing,1,Suggestion/ Feedback,In Progress,chris.young@loyalistcollege.com
356,Michael Sharma,500109329,2021-12-29,On Campus,Computer Software and Database Development,3,Inquiry,In Progress,michael.sharma@loyalistcollege.com
357,Jennifer Nelson,500245182,2022-12-06,Off Campus,Cloud Computing,2,Suggestion/ Feedback,Not Resolved,jennifer.nelson@loyalistcollege.com
358,James Collins DVM,500258359,2022-01-21,Moodle / E- Learning,Business Sales and Marketing,1,Suggestion/ Feedback,Resolved,james.collins.dvm@loyalistcollege.com
359,Vanessa Mejia,500384555,2022-06-30,Off Campus,Supply Chain Management,4,Other,Not Relevant Complaint,vanessa.mejia@loyalistcollege.com
360,Deborah Mcdaniel,500449604,2023-01-17,In Class,Computer Software and Database Development,4,Other,Not Relevant Complaint,deborah.mcdaniel@loyalistcollege.com
361,Stephen Kaur,500453906,2022-09-30,Moodle / E- Learning,Wireless Information Networking,4,Lost and Found,In Progress,stephen.kaur@loyalistcollege.com
362,Jennifer Crawford,500927979,2021-02-07,Off Campus,Cyber Security,1,Other,Not Relevant Complaint,jennifer.crawford@loyalistcollege.com
363,Patrick Johnson,500485038,2022-11-26,On Campus,Wireless Information Networking,1,Suggestion/ Feedback,In Progress,patrick.johnson@loyalistcollege.com
364,Lauren Parsons,500853401,2021-01-10,On Co-op/Placement,Global Business Management,4,Inquiry,Not Relevant Complaint,lauren.parsons@loyalistcollege.com
365,Michael Clark,500198259,2023-05-09,Off Campus,Global Business Management,2,Lost and Found,Not Resolved,michael.clark@loyalistcollege.com
366,Allison Reddy,500454687,2022-09-21,Applied Industry Project,Artificial Intelligence and Data Science,2,Inquiry,Not Resolved,allison.reddy@loyalistcollege.com
367,William Bonilla,500917277,2022-11-24,Moodle / E- Learning,Global Business Management,2,Other,Not Relevant Complaint,william.bonilla@loyalistcollege.com
368,Keith Rivera,500750681,2021-12-14,In Class,Cloud Computing,2,Other,Not Resolved,keith.rivera@loyalistcollege.com
369,Tammy Willis,500137397,2022-10-30,In Class,Hospitality Management,2,Lost and Found,Not Relevant Complaint,tammy.willis@loyalistcollege.com
370,Melanie Gomez,500143204,2022-01-10,Applied Industry Project,Hospitality Management,2,Inquiry,In Progress,melanie.gomez@loyalistcollege.com
371,Sabrina Kaur,500382719,2022-01-29,Moodle / E- Learning,Cyber Security,1,Lost and Found,Not Resolved,sabrina.kaur@loyalistcollege.com
372,Erin Burgess,500271820,2023-01-12,In Class,Wireless Information Networking,2,Suggestion/ Feedback,In Progress,erin.burgess@loyalistcollege.com
373,Robert Cunningham,500256674,2023-01-09,In Class,Supply Chain Management,4,Lost and Found,In Progress,robert.cunningham@loyalistcollege.com
374,Heidi Garrett,500711792,2021-08-08,Applied Industry Project,Wireless Information Networking,3,Inquiry,In Progress,heidi.garrett@loyalistcollege.com
375,Richard Burke,500403595,2021-12-21,Off Campus,Global Project Management,3,Inquiry,Not Resolved,richard.burke@loyalistcollege.com
376,Vanessa Singh,500478438,2022-11-16,On Co-op/Placement,Cyber Security,3,Other,Not Relevant Complaint,vanessa.singh@loyalistcollege.com
377,Charles Williams,500513969,2022-03-17,On Co-op/Placement,Artificial Intelligence and Data Science,1,Lost and Found,Not Relevant Complaint,charles.williams@loyalistcollege.com
378,Timothy Fry,500675127,2022-07-14,Moodle / E- Learning,Quality Engineering Management,4,Suggestion/ Feedback,Not Resolved,timothy.fry@loyalistcollege.com
379,Dr. Robert Osborne,500235938,2023-01-26,Off Campus,Business,3,Other,In Progress,dr..robert.osborne@loyalistcollege.com
380,Chelsea Dunn,500407659,2023-07-21,Off Campus,Global Business Management,2,Lost and Found,In Progress,chelsea.dunn@loyalistcollege.com
381,Rodney Patel,500220477,2021-08-20,In Class,Global Business Management,3,Inquiry,In Progress,rodney.patel@loyalistcollege.com
382,Carrie Jackson,500601287,2023-03-23,Moodle / E- Learning,Business Sales and Marketing,3,Other,Not Relevant Complaint,carrie.jackson@loyalistcollege.com
383,Brooke Rodriguez,500866007,2021-05-17,Applied Industry Project,Artificial Intelligence and Data Science,2,Suggestion/ Feedback,Not Resolved,brooke.rodriguez@loyalistcollege.com
384,Rebecca Jacobs,500351350,2021-10-19,Applied Industry Project,Hospitality Management,4,Suggestion/ Feedback,In Progress,rebecca.jacobs@loyalistcollege.com
385,Deborah Mitchell,500150600,2022-04-11,Applied Industry Project,Business Sales and Marketing,3,Other,Not Resolved,deborah.mitchell@loyalistcollege.com
386,Roy Sharma,500422835,2023-03-16,Moodle / E- Learning,Quality Engineering Management,2,Other,In Progress,roy.sharma@loyalistcollege.com
387,Michelle Shah DDS,500288310,2021-07-10,On Campus,Supply Chain Management,4,Other,In Progress,michelle.shah.dds@loyalistcollege.com
388,Wanda Lee,500998667,2021-04-02,On Co-op/Placement,Hospitality Management,3,Lost and Found,Not Relevant Complaint,wanda.lee@loyalistcollege.com
389,Rebecca Kirk,500648457,2021-08-29,In Class,Wireless Information Networking,4,Inquiry,Not Relevant Complaint,rebecca.kirk@loyalistcollege.com
390,Brittney Guerrero,500864056,2022-06-17,In Class,Wireless Information Networking,4,Suggestion/ Feedback,Resolved,brittney.guerrero@loyalistcollege.com
